county,cases_per_100000,population,partially_vaccinated_percent,fully_vaccinated_percent,2020_Unemployment_Rate,democrat_votes_percent,green_votes_percent,republican_votes_percent,libertarian_votes_percent,other_votes_percent
Santa Barbara,1197.48539,456373,9.01E-06,2.25E-06,0.095715588,0.648715427,0.004687055,0.32812383,0.012059559,0.006414128
Madera,2293.099463,160089,0,0,0.123558484,0.431176952,0.004038562,0.54675054,0.011557359,0.006476588
Placer,681.011103,400434,2.10E-05,2.10E-05,0.093817787,0.454599207,0.003313709,0.521039288,0.016793997,0.004253799
Stanislaus,2214.286603,562303,1.48E-05,5.56E-06,0.128844555,0.492389069,0.003451901,0.484499009,0.011602482,0.008057538
Sutter,1388.219051,105747,1.04E-05,0,0.116883117,0.407255417,0.003189194,0.571592721,0.012217428,0.00574524
Tuolumne,347.65334,52351,1.85E-05,0,0.122156281,0.393909498,0.004768482,0.581721915,0.01443699,0.005163115
Kings,3339.214032,156444,0,0,0.124113475,0.426324069,0.002849912,0.548824696,0.013770776,0.008230546
Fresno,2041.992701,1032227,5.11E-06,2.04E-06,0.129931973,0.5289559,0.004039275,0.450688787,0.011046348,0.005269691
Napa,924.4407527,139652,7.12E-06,7.12E-06,0.106321839,0.69046431,0.004296604,0.286569647,0.012668053,0.006001386
Monterey,1767.870355,448732,2.31E-06,0,0.103967168,0.695161753,0.004569218,0.282443586,0.011102774,0.006722669
Lake,773.843474,64871,0,0,0.109791217,0.518568652,0.007184506,0.455469943,0.012980702,0.005796196
Modoc,295.5145119,9475,0,0,0.07788162,0.264793921,0.003453834,0.71586461,0.008979968,0.006907668
Sacramento,1185.796967,1567975,4.37E-05,4.17E-05,0.120679966,0.613562719,0.004529258,0.361067034,0.013598909,0.00724208
Ventura,1062.800573,852747,1.30E-05,1.06E-05,0.112426036,0.594543842,0.004176669,0.383626796,0.011988411,0.005664282
San Mateo,860.6672742,778001,2.09E-05,1.83E-05,0.093793747,0.778878346,0.004261846,0.201960716,0.009496301,0.005402791
Humboldt,266.2232099,134098,7.37E-06,0,0.10652921,0.650291242,0.009078628,0.316226777,0.016443211,0.007960141
Riverside,1451.494949,2468145,7.97E-06,9.23E-06,0.131731117,0.529846885,0.003381617,0.450425009,0.009998436,0.006348054
Yolo,956.1204229,223612,8.84E-05,9.77E-05,0.091341579,0.694780768,0.005622135,0.280510617,0.01239542,0.00669106
Santa Cruz,741.608546,273999,1.10E-05,7.31E-06,0.106161841,0.788790157,0.007332381,0.185981483,0.01176495,0.00613103
Orange,985.033695,3228519,1.52E-05,1.30E-05,0.123227352,0.53478881,0.003822975,0.444446634,0.011382204,0.005559377
Tulare,2269.710563,484423,2.17E-06,0,0.149489796,0.450045954,0.003288287,0.528161487,0.010198455,0.008305817
Alpine,179.0510295,1117,0,0,0.152173913,0.642375169,0.005398111,0.32928475,0.020242915,0.002699055
Mariposa,247.2604664,17795,0,0,0.112771739,0.39766537,0.003793774,0.578793774,0.015077821,0.004669261
Amador,690.3532221,38531,0,0,0.115891742,0.365539813,0.004931851,0.609083572,0.015647418,0.004797346
Sierra,160.5136437,3115,0,0,0.087301587,0.378042465,0.006732263,0.591403418,0.013982393,0.009839461
San Luis Obispo,1047.83011,278862,0,0,0.098634294,0.552925855,0.004971386,0.422229736,0.01507695,0.004796073
San Bernardino,1630.649978,2217398,3.75E-06,2.81E-06,0.12686722,0.54196022,0.004302545,0.435434475,0.010451417,0.007851343
Merced,2499.826039,287420,1.11E-05,7.43E-06,0.13898917,0.541014201,0.004284736,0.435066369,0.01039159,0.009243104
Solano,1027.112807,444255,4.56E-06,4.56E-06,0.120868278,0.639406053,0.004653264,0.336637895,0.012021741,0.007281046
Glenn,1506.065149,29348,7.17E-05,7.17E-05,0.101556102,0.353633708,0.003009649,0.625210233,0.011330442,0.006815969
Mendocino,956.591549,88439,1.14E-05,0,0.108843537,0.664097831,0.009090909,0.306114444,0.013636364,0.007060452
Los Angeles,1488.756046,10257557,1.93E-05,1.84E-05,0.178748553,0.710278084,0.005079303,0.268628506,0.008313547,0.00770056
Yuba,1268.760247,79290,1.32E-05,1.32E-05,0.122516556,0.376896228,0.004161632,0.593233991,0.017116391,0.008591757
Marin,1431.748466,260800,1.15E-05,1.54E-05,0.090557276,0.823256112,0.004646089,0.157941346,0.009856895,0.004299557
Del Norte,315.697801,27558,0,0,0.110869565,0.408364621,0.006810443,0.564131669,0.013097005,0.007596263
Santa Clara,842.6065456,1967585,2.08E-05,2.86E-05,0.093169533,0.726386762,0.004748801,0.25226479,0.010732996,0.00586665
Kern,2454.135935,927251,2.26E-06,1.13E-06,0.151962075,0.436847346,0.003517943,0.538775992,0.012912228,0.007946491
Nevada,405.2274339,98710,1.01E-05,1.01E-05,0.10028096,0.561528958,0.005328185,0.41357529,0.01419305,0.005374517
Tehama,824.1633149,65885,0.000173575,0.000173575,0.103146157,0.310152797,0.003132505,0.666214194,0.014026661,0.006473844
San Joaquin,1902.127034,782545,5.46E-06,1.09E-05,0.138419783,0.556064752,0.003671738,0.417894893,0.010107633,0.012260983
